Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
2000,28.2486,,,,,,,,,35.69129,,,,34.06792,19.6978,,37.78079,,51.37396,,46.49041,,,,,,60.54413,,,30.88178,27.64804,,,,,,,31.41961,,43.01821,,41.55833,,,,44.55692,,,46.52694,50.24321,34.50056,,,27.56949,18.18888,,,,21.0204,,,,,,,,38.2881,,23.61022,,25.82618,,,21.211265,,21.40213,,,,,,24.71135,,,,,,,,,,,,,,,,,,,,19.08233,,,,,,,,37.55736,,30.84112,,,37.01107,35.42847,25.81831,,,,,68.08704,,62.6465,39.00548,,,,40.35094,,,,,,41.105465,,,,,,,48.63788,,,,20.89552,24.80577,,,15.75302,,,,,40.35094,,,,,,,,,,,,,,52.8109,27.16796,,58.7878,,,,,,,55.02941,,,26.860215,,,,37.61984,41.85999,60.45892,,,,,,,29.94187,46.40348,,,,,,,,48.17785,46.49041,,,,,,,53.43486,,,,,,,,,,15.64118,,27.89425,35.3591,,,,34.35124,,,,48.58945,32.22869,,,41.85999,,,,46.49041,,50.24321,33.3144,,,,,,,32.55352,,,48.64321,,,,,36.5275,,31.60662,,,45.93262,54.80165,
2001,26.13369,,,,,,,,,37.91883,,,,,19.63966,,40.08182,,55.3743,,,20.78723,,,,,,,,30.00274,29.26084,,,,,,19.23077,31.51195,,,,42.21462,,,,44.57196,,,42.75659,45.26161,31.15979,,,31.1626,16.76988,,,,22.30624,55.49953,,,,,,,,,22.8515,26.53279,26.08963,29.42103,,21.62445,,21.62445,,,,,,24.98936,,41.53529,,,57.83024,,,,,,,,,24.533955,23.32797,,,,,19.07292,,,,,,,,,,31.94093,25.78937,,34.50186,36.42922,24.07855,,,,,66.0845,,74.36318,34.33454,,,18.77848,39.27035,,,,,,39.27035,,,,,,,53.22691,,,,19.23077,,,,,,,,,39.57124,,,,,,,,,,,,,33.17422,45.22538,27.79817,,58.7878,,,,,,,55.3618,,,25.539495,37.93771,43.200565,,33.40638,38.96946,60.44693,44.86443,,,,,,30.30813,47.26645,,,,,,,,,,,,,,,,,,,,,,,45.26161,,,14.89417,19.32354,27.32787,32.11387,,,,34.39036,,,,49.38875,32.07042,,,39.57124,,,,,,45.26161,33.14603,,,,,,,37.15629,,,,,27.89102,,,27.85167,,36.23877,,,44.25636,,
2002,28.99817,,,,,,27.13887,,,35.4339,,,28.55169,,19.79905,,42.86891,,53.98192,,45.10525,20.09847,,,,,,,,28.20427,26.56135,,,,,,19.414795,31.0145,,42.04219,,,,,35.35986,,45.21472,43.81183,42.41027,48.27441,33.7636,,,29.63918,16.08467,,,,22.54934,62.76927,,,,,,,,,23.708705,26.01299,25.81827,28.01744,,22.07424,,21.59914,,,,,,23.6289,,,,,56.5252,,,,,,,,43.0803,25.81827,23.28514,,,,,18.10654,,,,,,,,,,32.52211,25.94668,,36.21417,36.63361,25.81831,,,,,,,64.56828,,,,18.77843,38.114505,45.03373,,,,,39.16489,,,,,,,,,,,18.73112,22.03611,,,,,,,,39.16489,45.47052,,,,25.02397,,,,,,,,30.528,,31.18679,,60.046,,,,,,25.469,59.21355,67.4942,,25.81829,46.80582,37.65983,,32.0895,37.06412,57.51813,,,33.71073,,,,30.97305,46.87771,,,,,,,,,,,,,,,,58.58606,,,,,,,42.96712,,,13.72957,20.91726,27.98942,37.65983,,32.01208,44.37828,21.11836,,,,50.27852,,,,40.60354,,,49.16414,,,48.27441,32.86089,,,,,,,32.96867,,,,,,,,,,45.78623,,,44.14791,,
2003,,,,,,,,,,38.0148,,,,,19.72309,,,,52.58811,,45.42799,19.10566,,,,,,,,,26.82197,,,,,,17.037685,29.97404,,39.79187,,,,,,,,,,37.806465,,,,27.94729,15.71172,,,,23.53289,,,,,,,,,,21.76347,,25.71691,26.30266,,21.682465,,21.60146,,,,,,25.47734,,,,,54.45651,,,,36.38402,,,,38.70894,25.68538,23.3798,,,,,16.909,,,,,,,,36.07693,,34.1786,24.19935,,34.86933,35.89366,25.65385,36.43051,,,,62.9527,,,,,,,,,,,,47.21373,,,,29.26718,,,,,,14.79363,,17.16637,24.79608,,,,,,54.12831,,39.28331,,,,,,,,,,,,,31.40319,54.9243,29.27681,,63.13306,,72.6454,,,,26.63089,56.471,,,25.68538,,31.74967,,,35.9535,59.06715,,,33.37789,,,,30.37897,46.44362,,,,,,15.90884,,,45.42799,,,,,,,57.18156,,,,,,,36.43051,,,14.95036,21.76347,27.55029,31.74967,,32.82093,,21.61944,,,,49.08111,,,,,,,37.76228,45.42799,,39.18242,34.98011,,,,,,,31.09611,,,39.23023,,,,,,,,,,41.69572,,
2004,26.70415,,,,,,29.27523,,,36.69546,,,,,18.95076,,50.65756,,51.19521,,39.98727,19.49264,,,,,42.64609,39.97492,,32.93215,27.34454,,19.36391,,,,16.28647,30.0204,,37.77649,,,,,,48.3245,,,45.45815,32.63466,31.76125,,,27.50617,15.18484,,,,22.91051,,,,,,,,,,25.75717,23.06672,25.98275,25.75717,,22.149575,,21.38864,39.08499,,,,,26.19924,,39.70232,,,61.16555,,,,,,,,32.14363,25.79931,22.97219,,,,,18.97679,,,,,,,,36.37518,,33.51409,23.22785,,34.75124,36.89154,25.79931,32.63466,,,,62.11754,,,,,,18.81727,36.95811,,,,,47.21373,36.95811,,,29.00164,,,,,31.24163,14.31399,,16.28647,,,,15.39129,,,54.12893,,40.00292,,,,,21.09898,,,,25.06783,,,,29.93843,,29.57187,,,,,,,,25.24975,,,,25.98275,47.97666,29.93843,,34.51866,37.22076,54.32305,,,31.5182,,,,31.25675,46.62214,,,,,,13.96431,,,,,,,,,,,,,,,,,31.286545,,,13.39768,,26.9065,37.65524,,,,,45.55756,,,42.79547,30.96506,,,37.22076,,,44.4381,,,,35.24702,,,61.77353,61.21026,,,32.46508,,,,,,,,,,,,,40.44617,63.86121,
2005,26.73218,,,,36.49876,,24.13593,,,34.19573,,,,34.62461,18.99533,,51.55736,,45.96998,71.18099,,20.29997,,,,,,40.74734,,34.01563,27.89376,,22.31675,30.03084,,,18.614745,29.6854,,37.40762,,,35.06433,,27.25437,47.43698,,,,34.22772,30.31329,,49.25914,27.30502,14.52153,,,,23.26011,,,,,,,,,,24.937585,,25.77435,25.2957,,23.26011,,20.75982,,,,,,26.46495,,39.45372,,,61.44626,,,,,,,,,25.77435,23.10701,,,,,20.0893,,,,,,,,35.58925,,33.64608,22.43949,,35.02579,37.50441,24.57947,34.22772,,,,,,,,,,19.83133,,62.53258,,,,,,,,,,,,43.03617,,14.91719,,,,,,,,57.30637,54.12952,,39.0791,,,,,,,,,,,,,27.16528,,,,,,,,,,25.02401,,,,26.006185,50.5356,30.03084,,,35.5932,51.99414,,,30.95879,,,,30.64015,,,,24.57947,,,13.76993,,,,,,41.80923,,,,51.00015,,,,,,,32.12928,,,17.14019,,26.23802,39.85914,,,,30.00212,45.78488,,,41.77848,,,,,,,,,,,34.2771,,,56.02344,,,,33.78484,,,40.9659,,33.74862,,,,,,,,42.94778,59.7587,
2006,,,,49.11833,31.43351,,23.76173,,,35.04241,,,,34.96822,18.56855,,,,53.1921,66.81058,41.95689,19.71527,,,,,,,,32.02467,,,,,52.45674,,19.605305,29.23546,,35.89175,,45.77992,38.64605,,,,,48.6778,39.42055,,29.31407,,45.97365,27.79002,13.56469,14.73804,17.57367,,23.69029,,,,,,,,,,25.05577,,25.70718,,,24.29607,,20.6202,,,,,,29.44554,,36.89679,,,63.43244,,,,,,67.15162,,28.80405,25.35986,22.20584,,,,,19.49534,,,,,,,,35.38399,,33.87118,28.393,,34.6421,37.28659,25.05577,,,,,54.10875,,,,,,20.41517,,,,,,,,,,31.03178,,,,40.12473,,15.04472,,25.35986,,,,,,58.65435,50.34166,,38.82099,,,,,,,,,,,57.6559,,26.24491,,27.70714,,60.87177,,69.48496,,,,25.63983,,,,25.63983,,39.558185,,,40.44302,,,,32.53095,,,,30.1717,,,,24.29607,,,37.22773,,,,,,45.30008,,,,48.41582,,,,,,,,,,17.59988,,24.90185,38.99164,,,,,,,,33.62559,,,,,,,,,,,,,,52.67562,,,,33.33268,,,,27.74891,27.93492,,,,,,,,45.1061,,
2007,,,,50.00324,,,25.64062,,,35.47537,,,,35.14115,18.03007,,,,57.22713,67.0338,46.25168,19.87313,,,,,,,,32.19858,,,,27.54638,47.96444,,19.87313,29.38642,,35.45253,,43.95862,36.98943,,,36.62786,,41.02133,38.97533,36.89191,30.13875,,,28.14934,13.88772,14.02363,19.01406,,23.81598,58.67903,,,,,,24.320275,,,24.079515,,25.41683,23.33446,,23.33446,,20.37513,,,,,,30.64547,,34.22735,,,62.64226,,,,,,61.99618,,33.94206,25.02453,21.47341,,,,,19.05888,,,,,48.38247,,,,,35.06306,28.67484,,34.28524,37.90018,25.08452,36.89191,,,,,,,,,,,38.61199,,,,,,37.57028,,,30.56831,,,,,,14.44313,,24.82457,,,,,17.11075,54.69952,,,38.24865,,,,,21.78029,,,,26.71402,,,,,,29.82499,,,,70.09502,,,,25.00246,,,,25.08452,,,,,40.88647,50.47004,,,32.28669,,,,27.90047,39.21369,,,24.40922,,,19.89485,,46.26699,,,,,,,52.04204,46.39688,,,48.1122,,,,,,,18.45534,,25.0466,,,,42.81054,,,,,40.72418,,,,38.24865,,,,,,,,,,49.16853,,,,,,,51.92939,31.8146,28.442,,,,,,,,42.29146,,
2008,,,,43.547835,,,,,,35.11319,,,,35.42323,17.83971,,51.78716,,56.48592,,45.29479,18.92772,,,,,47.32667,,,31.91941,36.85655,,23.3702,,,,18.89312,25.3011,,36.4039,,43.09156,32.55445,,,37.30254,61.72591,36.32377,39.53444,30.2266,25.47863,,,27.78074,14.70676,13.49708,,,24.08552,,,,,,,25.21059,,,25.309675,,25.38798,25.51536,,24.08552,,20.36713,,,,,,31.57509,35.99981,34.57418,,40.79846,61.13542,,,,,,59.78975,,,25.23137,21.39712,,,,,16.89833,,,,,49.04317,,,,,35.95779,27.86351,,33.41234,37.8556,25.23137,30.2266,,,,,,,,,,,37.25556,,,,,,,,,31.06497,,,,35.99421,31.04745,14.91504,,26.67222,,,35.53307,,17.35672,53.57201,50.35274,,37.20858,,,,39.02518,23.11467,,,,,,,42.63684,28.39471,,39.06479,,47.60078,,69.34212,,,,25.21059,62.3792,,,25.38798,,33.62956,,,40.47731,50.63602,,,31.04745,,,,28.82131,,,,24.08552,,,18.89312,,45.59538,,,,44.92799,22.46982,,50.16805,37.99142,,,47.23863,,,,31.92808,,,17.98809,,24.60966,33.62956,,,,,,,,44.00411,45.13959,,,,,,,,,,27.65974,,,45.43192,,,,,,,,,,,29.38257,49.72826,,,,,40.73365,,
2009,,,,48.44996,,,26.37233,,,32.80265,,,41.61324,35.9633,17.42743,,53.26733,,57.46588,,44.72804,18.60716,,,,,45.26097,,,32.37881,,,29.80438,17.82233,48.44996,,18.42169,27.92763,,36.38675,,41.76716,34.19688,,,38.40722,,44.08231,41.24669,33.2067,25.46623,,,27.70021,15.91159,13.54903,,,24.35669,,,42.548945,,35.9633,,24.734295,36.3525,,25.145475,,25.30394,25.1119,33.95361,24.07469,,19.79262,,,,,,31.11967,,33.13483,,41.69703,60.39031,,,,,,,,32.72708,25.17905,16.28242,,,,,16.88135,,,,,47.94577,,,26.68135,,35.75473,25.40941,,32.60843,38.15643,25.17905,33.2067,,,,,,51.02882,,,,,36.21646,38.95958,,,,42.78284,,,,,28.30164,,,,30.93658,12.96967,,28.18896,,,37.72544,15.05183,17.88562,52.28206,43.40023,,36.21646,,,,43.99744,21.98299,,,,27.37934,,,,26.45663,,27.67631,,,,63.41115,,,,26.05567,62.97432,,,26.05567,32.95369,26.45663,,,40.3786,54.97509,,,31.04314,,,,27.01513,,,,24.07469,,17.63843,18.42169,,,36.51484,,,47.5286,21.6226,,48.89005,,,,47.13679,,,,27.07842,,,18.40057,,24.07469,41.73746,,,38.87276,,59.24125,42.548945,,50.20335,46.13831,,,,,,,36.51484,,,,,,41.90611,,,,,,,41.89948,31.5452,28.3646,,30.93658,54.26613,,,,,41.09463,,
